Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-06-30,$67.25B,$118.30B,0.57
2020-03-31,$70.11B,$114.50B,0.61
2019-12-31,$70.53B,$110.11B,0.64
2019-09-30,$73.14B,$106.06B,0.69
2019-06-30,$72.85B,$102.33B,0.71
2019-03-31,$72.56B,$94.86B,0.77
2018-12-31,$75.34B,$92.13B,0.82
2018-09-30,$75.39B,$85.97B,0.88
2018-06-30,$77.81B,$82.72B,0.94
2018-03-31,$79.23B,$79.24B,1.00
2017-12-31,$78.99B,$78.36B,1.01
2017-09-30,$82.02B,$89.65B,0.92
2017-06-30,$81.45B,$87.71B,0.93
2017-03-31,$76.22B,$69.73B,1.09
2016-12-31,$59.31B,$68.81B,0.86
2016-09-30,$60.15B,$70.37B,0.86
2016-06-30,$40.56B,$72.00B,0.56
2016-03-31,$40.90B,$74.81B,0.55
2015-12-31,$40.68B,$76.78B,0.53
2015-09-30,$27.82B,$77.45B,0.36
2015-06-30,$27.81B,$80.08B,0.35
2015-03-31,$27.64B,$90.13B,0.31
2014-12-31,$18.26B,$91.88B,0.20
2014-09-30,$18.47B,$90.17B,0.21
2014-06-30,$20.65B,$89.78B,0.23
2014-03-31,$20.68B,$87.42B,0.24
2013-12-31,$20.68B,$85.10B,0.24
2013-09-30,$12.63B,$81.64B,0.16
2013-06-30,$12.60B,$78.94B,0.16
2013-03-31,$11.95B,$76.69B,0.16
2012-12-31,$11.95B,$72.58B,0.17
2012-09-30,$9.71B,$68.84B,0.14
2012-06-30,$10.71B,$66.36B,0.16
2012-03-31,$11.94B,$68.66B,0.17
2011-12-31,$11.93B,$64.12B,0.19
2011-09-30,$11.93B,$59.39B,0.20
2011-06-30,$11.92B,$57.08B,0.21
2011-03-31,$11.92B,$53.45B,0.22
2010-12-31,$9.67B,$48.48B,0.20
2010-09-30,$9.67B,$46.94B,0.21
2010-06-30,$4.94B,$46.18B,0.11
2010-03-31,$3.75B,$45.71B,0.08
2009-12-31,$3.75B,$44.28B,0.09
2009-09-30,$3.75B,$41.21B,0.09
2009-06-30,$3.75B,$39.56B,0.10
